CO(GT),NMHC(GT),C6H6(GT),NOx(GT),NO2(GT),T,RH,AH
2.3,141.0,11.5,143.0,99.0,24.4,29.4,0.8848
2.8,214.0,14.8,156.0,110.0,23.8,31.3,0.9137
6.1,471.0,32.1,314.0,162.0,22.5,35.4,0.9547
8.0,685.0,39.2,404.0,187.0,20.4,42.5,1.0086
6.5,538.0,31.0,320.0,165.0,18.3,52.6,1.0945
4.2,319.0,19.9,256.0,145.0,16.7,57.4,1.0786
3.2,224.0,15.3,193.0,125.0,15.7,60.2,1.0654
1.4,67.0,6.9,89.0,101.0,15.3,61.4,1.058
2.1,155.0,11.1,127.0,103.0,14.1,65.7,1.0494
1.2,49.0,5.4,79.0,88.0,14.8,60.6,1.0148
0.8,29.0,2.8,43.0,61.0,14.8,59.2,0.9879
0.6,17.0,2.0,38.0,52.0,12.8,63.2,0.9283
0.9,27.0,3.5,82.0,64.0,11.2,68.5,0.9081
1.3,50.0,5.1,99.0,70.0,11.0,66.5,0.8705
3.4,218.0,16.2,263.0,97.0,11.7,63.7,0.8719
3.7,285.0,19.7,229.0,95.0,13.6,56.3,0.8743
5.3,437.0,25.1,396.0,150.0,17.8,42.9,0.8672
4.1,327.0,20.0,314.0,162.0,21.4,33.3,0.8417
3.3,283.0,18.3,217.0,154.0,24.4,27.4,0.8231
4.0,366.0,22.3,252.0,161.0,25.3,26.1,0.8264
3.8,318.0,20.4,263.0,161.0,25.8,23.2,0.7589
2.8,228.0,14.6,180.0,128.0,27.0,20.2,0.7094
2.9,201.0,16.6,184.0,129.0,28.2,18.6,0.7014
2.9,199.0,15.8,190.0,133.0,28.0,19.1,0.7098
3.4,237.0,17.8,184.0,139.0,23.9,25.7,0.7519
3.9,261.0,19.1,181.0,137.0,21.3,34.8,0.873
3.2,230.0,15.8,166.0,143.0,20.4,36.7,0.8704
5.1,349.0,24.9,317.0,177.0,19.0,41.3,0.9007
2.6,183.0,13.5,184.0,138.0,17.9,45.9,0.9342
1.7,88.0,9.1,130.0,117.0,16.7,48.9,0.9226
1.7,85.0,8.6,132.0,107.0,15.5,52.9,0.9271
1.2,47.0,5.4,95.0,90.0,15.5,51.9,0.9059
0.9,34.0,4.1,70.0,79.0,14.1,55.6,0.891
0.5,11.0,1.6,28.0,40.0,11.8,58.0,0.8026
0.5,18.0,1.9,46.0,53.0,11.9,57.4,0.7978
1.6,84.0,7.5,160.0,84.0,9.9,65.2,0.7956
4.1,260.0,21.4,320.0,108.0,11.1,60.2,0.7958
6.6,534.0,36.4,377.0,127.0,14.1,50.0,0.802
4.3,368.0,21.3,280.0,134.0,17.7,40.1,0.8048
2.9,200.0,15.4,221.0,135.0,21.1,33.4,0.8265
2.5,145.0,12.5,210.0,142.0,24.3,28.3,0.8471
2.8,188.0,15.1,204.0,153.0,25.6,25.6,0.8254
2.6,152.0,13.7,161.0,123.0,25.9,25.9,0.8503
2.0,103.0,10.4,135.0,104.0,26.8,18.7,0.65
2.9,193.0,15.2,186.0,129.0,29.3,15.8,0.6309
2.5,134.0,12.3,147.0,114.0,28.5,14.9,0.5708
5.0,386.0,27.0,299.0,158.0,25.9,16.0,0.5237
7.6,577.0,38.4,411.0,194.0,23.1,26.5,0.7403
6.7,523.0,35.1,347.0,182.0,20.5,38.2,0.9133
5.7,472.0,27.2,336.0,180.0,19.1,42.6,0.9294
2.8,206.0,15.0,202.0,136.0,17.2,44.1,0.8558
2.6,216.0,15.7,178.0,127.0,16.0,50.9,0.9206
2.3,159.0,13.0,154.0,116.0,14.8,53.9,0.9024
1.4,70.0,8.1,92.0,107.0,14.3,55.4,0.8975
1.0,44.0,5.5,61.0,88.0,14.8,52.1,0.8686
0.6,20.0,2.5,37.0,57.0,12.0,58.9,0.8233
0.7,26.0,3.0,68.0,71.0,10.9,62.1,0.8113
1.5,78.0,7.7,139.0,85.0,10.6,63.3,0.8067
4.7,319.0,23.3,339.0,124.0,11.5,60.0,0.8117
6.6,506.0,35.8,421.0,151.0,14.3,50.6,0.8186
2.3,451.0,11.6,150.0,101.0,21.3,24.2,0.606
2.6,185.0,12.4,138.0,103.0,20.2,28.5,0.6682
3.8,426.0,18.3,213.0,129.0,17.0,43.1,0.8264
4.4,672.0,21.0,232.0,143.0,15.6,47.4,0.8347
4.5,624.0,21.0,238.0,146.0,15.3,47.4,0.8178
3.3,325.0,14.5,180.0,124.0,14.5,49.7,0.8177
2.0,143.0,8.4,128.0,113.0,13.9,52.0,0.8231
1.1,89.0,4.3,65.0,80.0,14.5,49.4,0.8106
0.9,73.0,3.8,53.0,72.0,13.8,51.4,0.8071
0.8,48.0,2.7,47.0,64.0,14.0,51.3,0.8163
0.7,47.0,2.5,51.0,70.0,13.0,56.8,0.8444
0.3,19.0,0.6,13.0,22.0,8.8,80.5,0.9147
0.5,26.0,1.8,33.0,47.0,9.6,75.4,0.9004
1.1,60.0,4.6,103.0,88.0,9.8,75.0,0.9093
3.0,248.0,14.2,224.0,130.0,10.0,74.2,0.9117
3.8,535.0,21.0,244.0,132.0,11.2,69.7,0.9232
3.4,340.0,16.2,237.0,132.0,12.0,62.9,0.8803
3.0,325.0,15.5,220.0,131.0,12.8,55.8,0.821
2.7,267.0,13.4,207.0,129.0,13.1,54.8,0.8234
3.5,325.0,16.9,208.0,132.0,13.8,53.4,0.8351
2.8,268.0,12.4,160.0,110.0,16.0,42.4,0.7674
1.9,136.0,10.1,131.0,99.0,14.1,49.8,0.7971
2.0,118.0,8.7,128.0,100.0,12.0,61.1,0.8537
3.0,276.0,13.8,176.0,122.0,13.6,54.6,0.8465
1.9,151.0,9.3,107.0,97.0,13.7,49.5,0.7695
2.7,236.0,13.0,131.0,112.0,11.7,57.1,0.7822
3.3,220.0,14.3,166.0,128.0,11.5,58.2,0.7867
1.7,87.0,7.6,89.0,101.0,12.6,54.2,0.7881
1.3,81.0,5.3,81.0,96.0,12.0,54.9,0.7664
1.3,74.0,5.4,78.0,86.0,11.0,61.4,0.8057
1.2,55.0,4.9,70.0,85.0,11.1,62.2,0.8199
1.1,74.0,4.6,76.0,79.0,10.8,62.5,0.8082
0.9,35.0,2.7,43.0,61.0,11.3,60.0,0.8025
0.6,20.0,1.2,34.0,54.0,10.9,58.6,0.7628
0.8,32.0,1.7,43.0,57.0,10.8,57.2,0.7382
1.2,84.0,4.8,79.0,75.0,10.4,59.2,0.7455
3.1,245.0,13.8,174.0,97.0,11.0,57.3,0.7501
4.4,553.0,23.7,235.0,110.0,11.2,56.9,0.7565
3.4,450.0,14.2,218.0,113.0,12.1,54.9,0.7734
1.7,118.0,8.0,136.0,88.0,15.1,44.3,0.7535
1.5,118.0,6.7,117.0,85.0,15.6,40.6,0.7146
1.7,144.0,8.7,119.0,96.0,16.9,34.6,0.6597
2.2,159.0,10.8,126.0,106.0,16.6,35.6,0.6697
2.7,230.0,11.4,197.0,126.0,9.6,81.1,0.972
2.8,320.0,13.4,195.0,130.0,11.7,69.1,0.9497
2.7,263.0,12.0,156.0,111.0,10.7,68.5,0.8794
4.5,556.0,20.2,247.0,134.0,10.7,67.3,0.8643
3.5,458.0,14.4,190.0,136.0,10.8,65.7,0.8486
2.6,214.0,9.4,169.0,125.0,10.3,66.3,0.8336
1.7,97.0,5.9,118.0,108.0,10.1,66.9,0.8248
1.3,79.0,4.5,81.0,87.0,10.4,61.1,0.7717
1.3,81.0,4.5,80.0,89.0,10.3,59.9,0.7516
1.0,52.0,2.5,42.0,58.0,11.0,58.4,0.7686
0.7,38.0,1.8,38.0,54.0,9.1,68.1,0.789
0.5,29.0,0.9,18.0,28.0,9.3,72.3,0.8496
0.5,21.0,0.6,12.0,20.0,9.9,66.8,0.8152
0.6,46.0,1.4,43.0,51.0,7.6,83.2,0.8695
1.1,55.0,3.8,84.0,82.0,8.1,79.0,0.8544
2.7,271.0,11.6,184.0,112.0,8.7,74.6,0.8429
3.5,434.0,17.8,202.0,119.0,8.6,75.1,0.8415
2.3,300.0,8.8,133.0,99.0,9.7,69.7,0.8389
1.6,116.0,6.8,130.0,98.0,11.0,64.4,0.8447
1.3,95.0,5.9,106.0,88.0,13.6,53.0,0.8209
2.0,211.0,8.9,132.0,96.0,14.2,48.4,0.778
1.9,168.0,8.2,106.0,81.0,14.2,46.3,0.7438
1.9,154.0,8.6,125.0,92.0,16.0,41.3,0.7462
2.2,267.0,10.1,138.0,105.0,17.7,35.4,0.7094
2.0,143.0,9.4,120.0,88.0,17.1,37.4,0.7225
2.9,374.0,14.6,158.0,103.0,14.9,40.5,0.6835
5.2,797.0,24.6,253.0,141.0,13.4,47.8,0.7293
4.6,698.0,21.6,231.0,133.0,12.6,52.5,0.7642
2.5,234.0,10.3,150.0,119.0,12.2,53.2,0.7555
1.5,104.0,5.7,99.0,106.0,10.6,56.1,0.714
1.2,67.0,4.5,75.0,92.0,9.9,59.5,0.7276
1.7,88.0,5.5,93.0,97.0,9.6,61.1,0.7323
1.4,79.0,4.8,79.0,91.0,9.7,61.6,0.7425
1.2,61.0,3.6,67.0,83.0,9.4,62.6,0.7398
0.7,40.0,2.2,45.0,59.0,8.0,69.4,0.7459
0.8,52.0,3.0,72.0,73.0,7.7,72.4,0.7655
0.9,64.0,4.0,103.0,78.0,8.0,71.8,0.7711
1.6,88.0,6.7,132.0,90.0,8.5,66.3,0.7375
3.4,375.0,16.7,239.0,110.0,9.8,59.6,0.7214
3.8,592.0,19.3,275.0,114.0,11.2,57.0,0.7544
3.1,357.0,14.8,232.0,119.0,14.8,44.1,0.7407
2.7,296.0,13.4,180.0,121.0,16.8,35.3,0.6729
2.0,181.0,11.0,112.0,97.0,19.2,27.1,0.5976
2.3,211.0,12.5,116.0,99.0,19.1,26.2,0.5741
1.9,199.0,8.4,103.0,85.0,16.3,30.8,0.5683
1.3,81.0,5.3,89.0,75.0,14.2,36.8,0.5922
1.9,143.0,8.8,112.0,87.0,13.4,41.0,0.6292
2.3,247.0,11.2,127.0,102.0,14.2,43.3,0.6982
2.4,239.0,11.6,125.0,105.0,12.1,45.6,0.6403
2.7,267.0,12.4,120.0,98.0,10.4,48.0,0.6046
2.6,261.0,10.6,120.0,93.0,10.0,51.1,0.628
1.5,97.0,6.0,99.0,91.0,9.8,50.8,0.6172
1.2,66.0,4.6,79.0,85.0,9.7,50.4,0.6063
1.1,60.0,4.1,66.0,74.0,9.9,50.2,0.6103
1.5,77.0,5.2,94.0,87.0,9.4,53.4,0.63
1.0,57.0,3.2,70.0,79.0,8.6,57.8,0.6488
1.2,65.0,4.5,75.0,78.0,8.1,62.1,0.6746
0.8,27.0,1.9,32.0,48.0,8.2,58.9,0.6444
0.9,25.0,2.4,54.0,59.0,6.3,66.6,0.641
1.1,42.0,3.3,68.0,65.0,7.2,62.9,0.6396
1.5,78.0,6.7,98.0,71.0,7.2,63.9,0.65
1.8,128.0,8.5,128.0,84.0,11.1,50.5,0.6654
2.1,184.0,9.7,129.0,93.0,15.5,36.1,0.6313
2.1,156.0,9.4,130.0,99.0,17.8,29.2,0.592
1.9,176.0,9.0,111.0,93.0,17.6,30.1,0.6013
2.1,232.0,10.0,106.0,96.0,19.1,26.8,0.5861
2.5,305.0,12.6,137.0,114.0,17.7,28.6,0.5735
1.9,150.0,7.6,113.0,101.0,17.8,28.4,0.5737
2.2,188.0,11.8,122.0,108.0,18.7,26.0,0.5555
2.3,221.0,11.2,137.0,117.0,17.1,31.3,0.6038
2.7,219.0,12.4,165.0,125.0,15.8,36.1,0.644
3.0,306.0,12.9,196.0,133.0,14.7,40.1,0.6657
2.8,270.0,12.2,174.0,119.0,13.6,44.9,0.6991
2.2,231.0,8.8,140.0,107.0,12.5,48.1,0.6946
1.6,125.0,6.8,102.0,96.0,11.8,50.8,0.7042
2.1,122.0,8.6,130.0,105.0,10.9,56.1,0.7326
2.3,161.0,8.9,121.0,102.0,10.9,55.9,0.7277
2.3,101.0,8.3,111.0,97.0,10.3,58.1,0.7278
1.7,95.0,6.3,87.0,79.0,9.3,62.2,0.7294
1.3,96.0,5.1,77.0,69.0,8.3,64.9,0.7124
0.8,54.0,2.6,39.0,52.0,9.6,58.5,0.7
1.1,63.0,3.6,77.0,62.0,7.7,66.4,0.699
1.4,72.0,3.6,91.0,69.0,7.4,68.0,0.7043
1.3,91.0,4.7,105.0,75.0,9.7,58.6,0.7035
1.9,127.0,7.5,133.0,83.0,12.5,50.1,0.7242
2.3,193.0,9.0,128.0,94.0,16.8,36.9,0.7018
2.3,188.0,9.5,126.0,96.0,19.2,31.3,0.6887
1.8,151.0,7.7,92.0,86.0,21.3,26.4,0.6607
1.4,103.0,5.7,66.0,72.0,21.2,23.1,0.5768
1.0,55.0,3.8,50.0,53.0,18.6,25.0,0.5319
1.4,104.0,4.8,70.0,65.0,18.0,27.3,0.5594
1.3,116.0,4.3,73.0,70.0,18.2,28.3,0.5848
1.3,93.0,4.1,77.0,75.0,17.0,31.4,0.6048
1.4,93.0,4.7,86.0,86.0,15.6,35.0,0.617
1.9,155.0,6.2,93.0,94.0,14.1,40.2,0.6438
1.8,115.0,5.5,105.0,103.0,13.4,43.2,0.6623
1.1,75.0,3.3,67.0,81.0,12.3,46.8,0.6686
1.1,65.0,3.2,63.0,80.0,11.9,46.5,0.6449
1.1,57.0,2.9,63.0,77.0,11.5,46.6,0.6319
0.9,40.0,2.2,46.0,58.0,10.6,48.0,0.6135
0.6,27.0,1.3,21.0,31.0,10.7,45.8,0.5895
0.5,23.0,1.1,22.0,38.0,10.4,46.6,0.5901
0.6,21.0,1.2,39.0,59.0,11.3,46.9,0.628
0.7,33.0,1.7,55.0,70.0,10.1,51.2,0.6341
0.9,40.0,2.9,76.0,75.0,9.9,50.7,0.6167
2.9,279.0,14.3,181.0,103.0,8.1,56.8,0.615
4.1,743.0,19.7,259.0,134.0,10.9,44.1,0.5748
1.5,147.0,5.5,118.0,98.0,11.8,37.6,0.5184
1.5,97.0,5.6,119.0,97.0,13.9,33.2,0.5222
1.5,118.0,5.8,123.0,98.0,15.6,30.1,0.5285
1.4,91.0,5.5,92.0,78.0,16.5,29.0,0.5406
1.6,146.0,6.5,91.0,83.0,17.5,27.9,0.5517
1.5,139.0,5.5,103.0,92.0,17.9,26.8,0.5446
1.4,155.0,5.2,102.0,81.0,18.2,26.1,0.5387
1.5,128.0,5.8,94.0,90.0,18.0,27.1,0.5522
1.9,166.0,7.9,98.0,95.0,17.0,28.9,0.5558
2.5,299.0,10.2,126.0,114.0,16.1,31.3,0.568
2.1,163.0,8.2,108.0,106.0,14.5,35.4,0.5839
1.6,154.0,5.7,95.0,99.0,13.2,37.9,0.5733
1.2,80.0,3.8,78.0,90.0,13.1,34.4,0.517
1.1,58.0,4.0,61.0,82.0,13.5,28.5,0.4405
1.0,55.0,2.8,55.0,74.0,12.4,31.9,0.4583
1.0,33.0,2.6,57.0,76.0,13.1,26.8,0.4023
0.7,33.0,1.8,41.0,66.0,11.6,33.6,0.4595
0.7,32.0,1.7,46.0,73.0,10.5,42.9,0.5442
0.7,26.0,2.3,52.0,71.0,12.9,33.9,0.5037
1.1,86.0,5.3,111.0,98.0,11.3,40.3,0.5376
2.6,294.0,13.4,191.0,115.0,11.9,38.4,0.5341
4.0,664.0,23.8,244.0,130.0,13.3,35.6,0.5416
4.2,695.0,21.5,283.0,150.0,16.3,28.8,0.5305
4.7,735.0,21.0,320.0,159.0,17.9,28.2,0.5741
3.9,649.0,18.4,249.0,146.0,18.3,26.6,0.5529
3.7,586.0,18.9,219.0,138.0,20.8,22.5,0.5463
3.4,546.0,17.1,200.0,128.0,22.4,20.0,0.5352
2.2,245.0,10.4,138.0,97.0,20.9,21.7,0.5295
1.9,178.0,8.0,118.0,91.0,19.1,26.5,0.579
1.6,130.0,6.2,99.0,81.0,18.1,30.6,0.6295
2.1,151.0,9.7,112.0,99.0,17.3,34.7,0.6788
2.2,272.0,9.6,117.0,101.0,15.8,40.4,0.7228
2.7,301.0,11.9,129.0,106.0,15.9,42.0,0.7541
2.4,237.0,8.7,132.0,102.0,15.9,43.5,0.779
1.3,95.0,4.7,73.0,84.0,15.0,46.1,0.7833
1.2,68.0,3.8,68.0,81.0,15.1,44.6,0.7574
1.5,101.0,4.7,80.0,91.0,14.9,43.5,0.7302
1.3,81.0,3.8,68.0,82.0,14.8,41.0,0.685
1.0,50.0,2.7,44.0,64.0,14.8,40.8,0.6814
0.9,66.0,2.8,47.0,70.0,14.8,40.8,0.6834
0.5,18.0,0.8,15.0,26.0,14.5,36.1,0.5928
0.6,31.0,1.5,44.0,58.0,14.6,36.0,0.5947
1.0,57.0,3.5,85.0,93.0,14.4,38.5,0.6291
3.1,342.0,15.6,207.0,110.0,13.8,58.2,0.9129
4.1,644.0,19.9,230.0,115.0,13.2,61.1,0.9256
2.2,216.0,8.6,181.0,125.0,10.4,74.4,0.9384
1.7,117.0,6.5,144.0,118.0,11.5,71.0,0.9582
1.9,156.0,7.7,140.0,109.0,12.2,70.0,0.9924
2.9,332.0,11.3,204.0,123.0,12.3,73.3,1.0442
2.2,232.0,9.1,149.0,114.0,11.3,78.1,1.0411
2.6,295.0,11.2,171.0,114.0,13.6,69.2,1.0746
3.1,386.0,13.5,195.0,119.0,14.9,59.3,0.9974
2.3,278.0,10.1,152.0,111.0,15.7,50.9,0.8997
2.4,263.0,11.3,128.0,103.0,15.2,52.9,0.9087
2.8,322.0,11.8,121.0,103.0,15.5,50.8,0.8881
2.7,226.0,11.5,142.0,107.0,14.3,52.9,0.8581
2.3,221.0,9.3,131.0,105.0,13.2,56.0,0.8446
1.5,109.0,5.5,81.0,91.0,12.6,57.0,0.8315
1.4,105.0,5.1,60.0,79.0,12.3,57.8,0.8224
1.2,84.0,4.8,57.0,79.0,12.0,58.4,0.8164
1.6,106.0,6.3,96.0,86.0,12.0,61.6,0.8593
1.2,100.0,5.1,85.0,70.0,11.5,63.9,0.8652
1.1,71.0,4.1,50.0,55.0,10.7,67.2,0.863
0.7,44.0,2.4,57.0,49.0,10.2,66.6,0.8299
0.9,45.0,2.9,64.0,50.0,11.0,63.7,0.8325
1.7,134.0,7.4,153.0,67.0,9.6,68.8,0.8243
4.2,505.0,19.8,342.0,94.0,9.5,69.6,0.8273
6.2,1042.0,31.9,378.0,119.0,11.9,60.9,0.8455
4.6,737.0,21.0,304.0,139.0,16.2,48.6,0.8892
2.8,375.0,11.7,192.0,113.0,19.2,39.6,0.8693
1.6,124.0,6.8,130.0,88.0,19.7,38.4,0.8743
1.7,137.0,7.4,106.0,73.0,20.6,36.7,0.8797
1.7,179.0,8.6,102.0,73.0,21.8,33.9,0.8771
3.3,388.0,16.4,163.0,106.0,23.6,27.5,0.7913
4.2,589.0,21.2,211.0,132.0,22.8,32.1,0.8814
5.5,840.0,25.0,267.0,164.0,20.8,36.7,0.8878
4.9,655.0,20.2,269.0,161.0,18.3,40.9,0.8493
2.5,254.0,10.8,154.0,124.0,16.8,44.0,0.8341
2.0,188.0,9.9,127.0,113.0,15.8,48.0,0.8569
2.0,120.0,8.5,122.0,103.0,14.9,52.0,0.8757
2.0,157.0,8.0,126.0,104.0,14.1,54.4,0.8701
1.3,88.0,5.6,84.0,93.0,13.3,58.8,0.8922
1.0,68.0,3.2,58.0,60.0,13.3,60.9,0.9229
0.7,51.0,2.6,56.0,66.0,11.3,72.9,0.9738
1.1,93.0,4.3,91.0,82.0,11.4,71.8,0.9671
2.6,284.0,13.0,159.0,109.0,11.9,73.7,1.0254
3.9,486.0,20.3,190.0,114.0,12.6,70.2,1.0221
5.0,798.0,20.7,249.0,139.0,13.6,65.3,1.0136
3.3,524.0,15.9,196.0,127.0,16.9,52.3,1.0013
2.9,468.0,14.2,180.0,127.0,19.4,44.1,0.9855
3.1,454.0,15.9,167.0,135.0,22.9,33.8,0.9322
3.0,461.0,16.1,159.0,130.0,23.6,31.3,0.9001
2.7,391.0,14.7,152.0,126.0,24.7,30.5,0.9371
2.7,337.0,14.0,149.0,121.0,26.1,27.3,0.9101
2.6,297.0,13.6,143.0,122.0,27.6,22.8,0.8288
3.7,588.0,19.7,185.0,138.0,26.9,22.3,0.7792
4.5,721.0,23.3,223.0,165.0,24.3,30.1,0.9012
4.7,710.0,24.1,215.0,154.0,21.2,40.1,0.9978
5.5,787.0,25.4,271.0,168.0,19.4,42.5,0.9483
3.0,415.0,14.1,180.0,146.0,18.5,43.0,0.9074
1.9,245.0,10.1,115.0,124.0,17.8,47.0,0.9467
2.3,294.0,12.1,149.0,124.0,16.8,53.2,1.01
1.6,139.0,9.0,98.0,106.0,17.1,51.8,0.999
1.3,98.0,6.3,73.0,88.0,16.2,54.2,0.9933
1.2,88.0,5.3,69.0,83.0,15.1,58.2,0.9886
